id,count,area,floor_area
1,2133,323838500.0,323839400
2,0,0,0
3,1631,5082800.0,5082800
5,4128,4097300.0,4097300
6,3949,1796100.0,1796100
7,0,0,0
8,960,2899000.0,2899000
9,11295,19551700.0,19551700
10,1945,1945300.0,1945300
11,9792,5432300.0,5432300
12,10369,31078800.0,31078800
13,8047,13572300.0,13572300
14,746,128900.0,128900
15,0,0,0
16,3,44500.0,44500
17,599,89800.0,104800
18,135876,29733900.0,56456700
19,155984,64329700.0,271221700
20,8557,5583900.0,8916600
21,6537,4143500.0,25550000
22,11906,2822800.0,8080000
23,2121,755400.0,2197100
24,638,335800.0,2563100
25,2350,2278500.0,13999300
26,3620,5771700.0,23053000
27,3847,4991400.0,9343800
28,8522,4836800.0,11849400
29,5519,8845900.0,16541300
30,92,142400.0,1215800
32,54,26700.0,31700
33,56878,10309700.0,13401100
34,74,265800.0,1162500
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,9781,1625000.0,1625000
40,147940,82537100.0,82537100
41,8877,19583000.0,19583000
43,6916,11464400.0,11464400
44,31054,8970800.0,8970800
45,365431,120910000.0,120910000
46,0,0,0
47,0,0,0
48,0,0,0
49,21576,28355500.0,28355500
50,131,9523000.0,9523000
51,3887,999500.0,3433000
52,0,0,0
53,0,0,0
54,490992,88129000.0,88129000
55,1053,842500.0,842500
56,0,0,0
57,257928,53751800.0,53751800
58,52890,39404800.0,39404800
59,5377,681900.0,681900
60,1984,1566700.0,1566700
61,348,15389300.0,15389300
62,0,0,0
63,18,8500.0,10800
64,299,300800.0,867800
65,20,29100.0,58900
66,0,0,0
67,170,127800.0,456600
68,103,97000.0,473700
69,1,100.0,100
70,30,3000.0,3000
71,0,0,0
72,39,71200.0,360200
73,0,0,0
74,1355,1001700.0,2795700
75,788,162100.0,175700
76,0,0,0
77,209,156200.0,156200
78,2301,5790700.0,5790700
79,0,0,0
80,0,0,0
82,1619,425800.0,910300
84,0,0,0
85,0,0,0
87,242,109700.0,109700
88,84,41100.0,41100
89,0,0,0
90,88286,23333100.0,23333100
91,50,356600.0,907300
92,371,129200.0,146800
93,3613,3657000.0,10481500
94,9270,4052800.0,39943200
95,1991,3412700.0,55024500
96,337,331713700.0,331713700
97,2149,9851500.0,9851500
98,2944,8708000.0,8708000
